release_seed,metric,contrast,condition,value
20260713,inertial_uniform_fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,inertial_uniform_fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0
20260713,inertial_uniform_fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.0
20260713,inertial_uniform_fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,inertial_uniform_fpt_5dp_reached_fraction,velocity_size_interaction,difference_of_differences,0.0
20260713,fractional_fpt_alpha,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0159100317993639
20260713,fractional_fpt_alpha,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.03839023801320107
20260713,fractional_fpt_alpha,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.02949128382496058
20260713,fractional_fpt_alpha,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.08379155363752555
20260713,fractional_fpt_alpha,velocity_size_interaction,difference_of_differences,-0.05430026981256497
20260713,fractional_fpt_residual_bic_improvement,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-10.675512796672592
20260713,fractional_fpt_residual_bic_improvement,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,12.711379227725047
20260713,fractional_fpt_residual_bic_improvement,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-14.805737095033692
20260713,fractional_fpt_residual_bic_improvement,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,8.581154929363947
20260713,fractional_fpt_residual_bic_improvement,velocity_size_interaction,difference_of_differences,23.38689202439764
20260713,non_gaussian_parameter_20ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.2661489833286841
20260713,non_gaussian_parameter_20ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0391965309691471
20260713,non_gaussian_parameter_20ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.1616326531772173
20260713,non_gaussian_parameter_20ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.3885851055367543
20260713,non_gaussian_parameter_20ms,velocity_size_interaction,difference_of_differences,-0.22695245235953698
20260713,non_gaussian_parameter_50ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.6289139077554261
20260713,non_gaussian_parameter_50ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.02914414606728366
20260713,non_gaussian_parameter_50ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.042647375951279654
20260713,non_gaussian_parameter_50ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.7007054297739894
20260713,non_gaussian_parameter_50ms,velocity_size_interaction,difference_of_differences,-0.6580580538227098
20260713,variance_top10_observed_share,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.05621251941972985
20260713,variance_top10_observed_share,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.05211380888917372
20260713,variance_top10_observed_share,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.011428167376275944
20260713,variance_top10_observed_share,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.015526877906832076
20260713,variance_top10_observed_share,velocity_size_interaction,difference_of_differences,0.004098710530556132
20260713,variance_top10_gaussian_null_p50,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,variance_top10_gaussian_null_p50,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0
20260713,variance_top10_gaussian_null_p50,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.0
20260713,variance_top10_gaussian_null_p50,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,variance_top10_gaussian_null_p50,velocity_size_interaction,difference_of_differences,0.0
20260713,variance_top10_outlet_capped_null_p50,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.013763175444566955
20260713,variance_top10_outlet_capped_null_p50,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.048245622621032935
20260713,variance_top10_outlet_capped_null_p50,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.030332844785673108
20260713,variance_top10_outlet_capped_null_p50,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.0041496023907928725
20260713,variance_top10_outlet_capped_null_p50,velocity_size_interaction,difference_of_differences,-0.03448244717646598
20260713,variance_top10_observed_to_null_mean_ratio,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.13010708508307067
