metric,contrast,condition,count,mean,standard_deviation,standard_error,ci95_low,ci95_high,minimum,maximum,same_sign_count
mean_mechanical_contact_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,2.3474774911222696e-10,9.722837843938821e-11,5.6134830464851594e-11,-6.7809324186134605e-12,4.762764306430673e-10,1.409265158269359e-10,3.3505817579735425e-10,3
mean_mechanical_contact_impulse_z_N_s,velocity_size_interaction,difference_of_differences,3,1.724644268387149e-10,1.5135631989560498e-10,8.738561203527865e-11,-2.0352551532138197e-10,5.484543689988117e-10,5.471304438634953e-11,3.4318686374959907e-10,3
mean_mechanical_contact_net_work_J,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-4.0874664158586197e-10,1.4072344757571246e-11,8.12467203391298e-12,-4.437042838904949e-10,-3.7378899928122906e-10,-4.249380673875188e-10,-3.99463837762642e-10,3
mean_mechanical_contact_net_work_J,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-1.3576870981697804e-09,1.6071832834733516e-10,9.279077013504062e-11,-1.7569335585822782e-09,-9.584406377572826e-10,-1.47637813594036e-09,-1.1747911473489083e-09,3
mean_mechanical_contact_net_work_J,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-1.9698228207091173e-10,2.6656079516442073e-11,1.53898946843579e-11,-2.6319965444435977e-10,-1.3076490969746368e-10,-2.1868784679882006e-10,-1.6722981928455838e-10,3
mean_mechanical_contact_net_work_J,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-1.1459227386548301e-09,1.6544623065763874e-10,9.552042580659665e-11,-1.5569139594936896e-09,-7.349315178159706e-10,-1.2417699356174932e-09,-9.548822600907461e-10,3
mean_mechanical_contact_net_work_J,velocity_size_interaction,difference_of_differences,3,-9.489404565839184e-10,1.7437244993230862e-10,1.0067398090767293e-10,-1.382105635346083e-09,-5.157752778217538e-10,-1.0745401163329349e-09,-7.498530799613894e-10,3
mean_sampled_contact_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-0.12632960944293606,0.05365288942706002,0.030976510153514332,-0.25961077541153427,0.00695155652566215,-0.18688276726737785,-0.08471200535710266,3
mean_sampled_contact_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-0.1291268211848592,0.039352567978193816,0.022720215715513248,-0.22688401935258512,-0.031369623017133266,-0.16992430733306746,-0.09139895668269554,3
mean_sampled_contact_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-0.0044629247240316845,0.021933638877460557,0.012663392310209895,-0.058949104214818276,0.05002325476675491,-0.028392233545246115,0.014686828775040572,1
