case_name,timestep,time,elapsed_time,x_center_m,x_over_L,blockage_ratio
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.010124999999999999,0.22499999999999998,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.012374999999999999,0.27499999999999997,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.014624999999999999,0.325,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.016875,0.37500000000000006,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.019124999999999996,0.42499999999999993,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.021374999999999998,0.475,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.023625,0.525,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.025874999999999995,0.575,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.030375,0.675,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.032625,0.7250000000000001,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.034874999999999996,0.7749999999999999,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.037125,0.825,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.03937499999999999,0.8749999999999999,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.041624999999999995,0.9249999999999999,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.043875,0.975,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.001125,0.024999999999999998,4.1905324991630334e-05
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.0033749999999999995,0.075,4.110454295860104e-05
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.005625,0.125,4.165234023630916e-06
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.007875,0.17500000000000002,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.010124999999999999,0.22499999999999998,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.012374999999999999,0.27499999999999997,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.014624999999999999,0.325,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.016875,0.37500000000000006,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.019124999999999996,0.42499999999999993,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.021374999999999998,0.475,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.023625,0.525,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.025874999999999995,0.575,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.030375,0.675,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.032625,0.7250000000000001,0.0
