job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,time_ms,released_fraction,front_bulk_gap_over_L,job_label
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,400000,0.004,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg500k_type2_400000.dump,15000,15000,True,0,14549,419,32,0.9699333333333332,0.0279333333333333,0.0,0.3366495966222222,0.3898313333333333,0.4031671111111111,0.5369933333333333,0.0001738406413333,0.000550555,0.0085726,5.10197,4.0,0.030066666666666797,0.13382622222222224,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,450000,0.0045,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg500k_type2_450000.dump,15000,15000,True,0,14452,514,34,0.9634666666666668,0.0342666666666666,0.0,0.3374184805333333,0.3906024444444445,0.4042333333333333,0.5373755555555556,0.0002084404173333,0.000599125,0.0088329,4.96833,4.5,0.036533333333333196,0.13314222222222233,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,500000,0.005,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg500k_type2_500000.dump,15000,15000,True,0,14363,601,36,0.9575333333333332,0.0400666666666666,0.0,0.3382055770823703,0.3912582222222222,0.4051536,0.5638822222222223,0.00024385976204,0.000631435,0.010331,3.08049,5.0,0.042466666666666764,0.15872862222222228,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,600000,0.006,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg1M_type2_600000.dump,15000,15000,True,0,14190,773,37,0.946,0.0515333333333333,0.0,0.3398094110814815,0.3929697777777778,0.4071292666666667,0.6302244444444445,0.0003160322919999,0.0007381159999999,0.0133163999999999,3.06466,6.0,0.05400000000000005,0.22309517777777776,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,700000,0.007,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg1M_type2_700000.dump,15000,15000,True,0,14020,946,34,0.9346666666666666,0.0630666666666666,0.0,0.3414122292888888,0.3947068888888889,0.4095225111111111,0.6962444444444444,0.0003881591113333,0.000805726,0.0162872999999999,3.04906,7.0,0.06533333333333335,0.28672193333333335,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,800000,0.008,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg1M_type2_800000.dump,15000,15000,True,0,13853,1114,33,0.9235333333333332,0.0742666666666666,0.0,0.342988874725926,0.3963522222222222,0.4120112666666667,0.7619488888888889,0.000459108156,0.000928938,0.0192439999999999,3.03368,8.0,0.0764666666666668,0.3499376222222222,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,900000,0.009,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg1M_type2_900000.dump,15000,15000,True,0,13692,1280,28,0.9128,0.0853333333333333,0.0,0.3445406986814814,0.3979777777777778,0.4146427777777778,0.8130622222222221,0.000528940234,0.0011444,0.0215440999999999,2.14092,9.0,0.08720000000000006,0.3984194444444443,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,1000000,0.01,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg1M_type2_1000000.dump,15000,15000,True,0,13523,1451,26,0.9015333333333332,0.0967333333333333,0.0,0.346076038197037,0.3996046666666667,0.4169889333333333,0.85254,0.0005980305121999,0.001329504,0.0233205999999999,2.13885,10.0,0.09846666666666681,0.43555106666666665,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,1500000,0.015,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_1500000.dump,15000,15000,True,0,12720,2261,19,0.848,0.1507333333333333,0.0,0.3535043486192593,0.4073711111111111,0.4285047111111111,0.9740355555555557,0.0009323044811999,0.002104969,0.0287878999999999,2.12897,15.0,0.15200000000000002,0.5455308444444446,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,2000000,0.02,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_2000000.dump,15000,15000,True,0,11920,3067,13,0.7946666666666666,0.2044666666666666,0.0,0.3611892651851852,0.4153857777777777,0.4435607333333333,0.9103866666666668,0.0012781257266666,0.0033537329999999,0.0251607,1.25868,20.0,0.20533333333333337,0.4668259333333335,"906 upstream, 15k"
