case_name,timestep,time,elapsed_time,BTC,particle_count,x_mean_over_L,x_q90_over_L,x_q99_over_L,blockage_centroid_over_L,peak_blockage_ratio,peak_blockage_x_m,peak_blockage_x_over_L,profile_mean_pressure_increase_ratio,peak_local_pressure_increase_ratio
paper1_df0p0225_ug2_seed401,13608000,0.13608,0.015390000000000001,0.0,3000,0.25824047659259264,0.3339215555555556,0.4027366444444441,0.25900874939302426,3.4193426319312395e-05,0.012374999999999999,0.27499999999999997,2.1021377960104367e-05,0.00014443753676917105
paper1_df0p0225_ug2_seed401,13689000,0.13689,0.016200000000000006,0.0,3000,0.2746916357037037,0.3554284444444444,0.42280955555555483,0.27451593478857395,3.445190794375644e-05,0.012374999999999999,0.27499999999999997,2.1016076049755638e-05,0.00014552948660130844
paper1_df0p0225_ug2_seed401,13770000,0.1377,0.017009999999999983,0.0,3000,0.290884668962963,0.37533444444444447,0.4505064444444442,0.29081404085646356,3.183016575296683e-05,0.012374999999999999,0.27499999999999997,2.0978355195415176e-05,0.00013445405765063218
paper1_df0p0225_ug2_seed401,13851000,0.13851,0.01781999999999999,0.0,3000,0.3067914045925926,0.39586377777777776,0.46986348888888824,0.307028891958313,2.7509830030116345e-05,0.012374999999999999,0.27499999999999997,2.0946156230428418e-05,0.000116203299793112
paper1_df0p0225_ug2_seed401,13932000,0.13932,0.018629999999999994,0.0,3000,0.3224123007407407,0.4149811111111111,0.48776011111111106,0.3229308913035553,2.400576798521846e-05,0.014624999999999999,0.325,2.094433383925982e-05,0.00010140107080517563
paper1_df0p0225_ug2_seed401,14013000,0.14013,0.01944,0.0,3000,0.3377337863703704,0.43333133333333335,0.5035289777777778,0.3382197519557611,2.4366890570042482e-05,0.016875,0.37500000000000006,2.0988231440884306e-05,0.00010292655157476111
paper1_df0p0225_ug2_seed401,14094000,0.14094,0.020250000000000004,0.0,3000,0.35244731844444444,0.45120733333333335,0.5228419111111109,0.35397552084581235,2.586690435342403e-05,0.016875,0.37500000000000006,2.1058573236006095e-05,0.00010926304892628489
paper1_df0p0225_ug2_seed401,14175000,0.14175000000000001,0.02106000000000001,0.0,3000,0.3668260973333333,0.46744,0.5397048,0.36782439887238616,2.550023431748632e-05,0.016875,0.37500000000000006,2.1133027726422055e-05,0.00010771412317965591
paper1_df0p0225_ug2_seed401,14256000,0.14256,0.021869999999999987,0.0,3000,0.3805262505185185,0.48420133333333343,0.5549524222222222,0.3815385630848201,2.605636276713422e-05,0.019124999999999996,0.42499999999999993,2.1231275384571423e-05,0.0001100633799437057
paper1_df0p0225_ug2_seed401,14337000,0.14337,0.022679999999999992,0.0,3000,0.39342959614814815,0.4967408888888889,0.5723876444444432,0.3940660890608651,2.7536837924357753e-05,0.019124999999999996,0.42499999999999993,2.1290245796854032e-05,0.0001163173903501579
paper1_df0p0225_ug2_seed401,14418000,0.14418,0.023489999999999997,0.0,3000,0.40565875155555553,0.5087371111111112,0.5898184666666665,0.4063906909608943,2.7721897319010695e-05,0.019124999999999996,0.42499999999999993,2.131113417021755e-05,0.00011709914474579234
paper1_df0p0225_ug2_seed401,14499000,0.14499,0.024300000000000002,0.0,3000,0.4173820904444444,0.5230846666666666,0.6130479111111109,0.41795295798245,2.668556470895422e-05,0.019124999999999996,0.42499999999999993,2.13078648505916e-05,0.00011272132898918788
paper1_df0p0225_ug2_seed401,14580000,0.1458,0.025110000000000007,0.0,3000,0.4288066762962963,0.5367042222222222,0.6305426666666664,0.42904653187554337,2.5242101430661274e-05,0.019124999999999996,0.42499999999999993,2.1273440014031726e-05,0.00010662369297870778
paper1_df0p0225_ug2_seed401,14661000,0.14661,0.025919999999999985,0.0,3000,0.43996881000000004,0.5505971111111111,0.6530114888888882,0.4399733106074614,2.376162627343774e-05,0.019124999999999996,0.42499999999999993,2.1293645575825105e-05,0.00010036975078713686
paper1_df0p0225_ug2_seed401,14742000,0.14742,0.02672999999999999,0.0,3000,0.4509504502222222,0.5646046666666666,0.6685554666666659,0.4513489679656075,2.156988287275042e-05,0.021374999999999998,0.475,2.1291064634631272e-05,9.111129289740069e-05
paper1_df0p0225_ug2_seed401,14823000,0.14823,0.027539999999999995,0.0,3000,0.4618258026666667,0.5810082222222221,0.694832311111111,0.461238047702584,2.180822411996313e-05,0.021374999999999998,0.475,2.12501217999071e-05,9.211809969661178e-05
paper1_df0p0225_ug2_seed401,14904000,0.14904,0.02835,0.0,3000,0.47270305096296295,0.5981731111111112,0.7149709333333332,0.4727478611403704,2.2064000186334368e-05,0.023625,0.525,2.1308057960570462e-05,9.319855634330603e-05
paper1_df0p0225_ug2_seed401,14985000,0.14985,0.029160000000000005,0.0,3000,0.4836916200740741,0.6147888888888889,0.7371527555555553,0.483430075170475,2.158354457088655e-05,0.023625,0.525,2.127276271703503e-05,9.11690029392641e-05
paper1_df0p0225_ug2_seed401,15066000,0.15066000000000002,0.02997000000000001,0.0,3000,0.49463124874074077,0.6300391111111111,0.7549335999999994,0.49370365578866726,2.2100958310599585e-05,0.023625,0.525,2.1251292254580762e-05,9.335467602798446e-05
paper1_df0p0225_ug2_seed401,15147000,0.15147,0.030779999999999988,0.0,3000,0.5056598363703704,0.6477755555555554,0.7764988666666667,0.5047419985203713,2.2322707056190883e-05,0.023625,0.525,2.1214542325956675e-05,9.429139471216274e-05
paper1_df0p0225_ug2_seed401,15228000,0.15228,0.03158999999999999,0.0003333333333333,3000,0.5170116074074075,0.6673233333333334,0.7975151999999995,0.5157590844690799,2.2655330174577836e-05,0.023625,0.525,2.121648124138795e-05,9.569647458916433e-05
paper1_df0p0225_ug2_seed401,15309000,0.15309,0.0324,0.0006666666666666,3000,0.5286154261481482,0.6868606666666667,0.8260561777777765,0.5268157290704096,2.2766204547373483e-05,0.023625,0.525,2.1205987502071415e-05,9.616483504117108e-05
paper1_df0p0225_ug2_seed401,15390000,0.1539,0.03321,0.001,3000,0.5404190101481481,0.7045539999999999,0.8471147111111107,0.5388537669966545,2.1620502695151767e-05,0.023625,0.525,2.1131148187988473e-05,9.132512226744675e-05
paper1_df0p0225_ug2_seed401,15471000,0.15471000000000001,0.03402000000000001,0.0023333333333333,3000,0.5522974632592593,0.7246560000000001,0.8683782888888888,0.5513969646221654,1.9957387103217017e-05,0.023625,0.525,2.1074987348910935e-05,8.429977965434678e-05
paper1_df0p0225_ug2_seed401,15552000,0.15552,0.034829999999999986,0.0036666666666666,3000,0.564471962962963,0.7454684444444445,0.8932399333333325,0.5631984683978649,1.9218224617912684e-05,0.023625,0.525,2.1061779013665455e-05,8.117742298610592e-05
paper1_df0p0225_ug2_seed401,15633000,0.15633,0.03563999999999999,0.005,3000,0.5768656224444444,0.7627751111111112,0.916773888888889,0.5755665496161219,1.785077402009967e-05,0.023625,0.525,2.1033961227134045e-05,7.540109206972698e-05
paper1_df0p0225_ug2_seed401,15714000,0.15714,0.036449999999999996,0.008,3000,0.5894448838518519,0.7816222222222221,0.9460149777777778,0.5875303692901405,1.6668114043612736e-05,0.023625,0.525,2.100542203803636e-05,7.040537669021888e-05
paper1_df0p0225_ug2_seed401,15795000,0.15795,0.03726,0.0103333333333333,3000,0.602072425925926,0.804504,0.9743814888888889,0.5994302641777755,1.5781119061247535e-05,0.023625,0.525,2.0971187154161302e-05,6.665860858515032e-05
paper1_df0p0225_ug2_seed401,15876000,0.15876,0.03807000000000001,0.0123333333333333,3000,0.6147155177777778,0.8265044444444445,0.987604911111111,0.611375220519158,1.4487584711964951e-05,0.023625,0.525,2.0941042787023014e-05,6.11946000809188e-05
paper1_df0p0225_ug2_seed401,15957000,0.15957,0.038879999999999984,0.016,3000,0.6273629503703705,0.8481195555555555,0.993619911111111,0.6237389792818797,1.3706222560101003e-05,0.025874999999999995,0.575,2.0882831830477838e-05,5.7894070495956496e-05
paper1_df0p0225_ug2_seed401,16038000,0.16038,0.03968999999999999,0.0183333333333333,3000,0.6401190866666666,0.8687982222222222,0.9974803111111111,0.6356699402224303,1.3046217865621502e-05,0.023625,0.525,2.0854555186243973e-05,5.5106173035341064e-05
