case_label,debris_total_number,x_index,x_over_L,mean_pressure
baseline,0,96,0.5361111111111111,0.45586056441276546
baseline,0,97,0.5416666666666666,0.4505072640860044
baseline,0,98,0.5472222222222223,0.44564942545231784
baseline,0,99,0.5527777777777778,0.4406771920156652
baseline,0,100,0.5583333333333333,0.4347033452827041
baseline,0,101,0.5638888888888889,0.429026483138086
baseline,0,102,0.5694444444444444,0.4236546629476538
baseline,0,103,0.575,0.4177128929708021
baseline,0,104,0.5805555555555556,0.41146781769917573
baseline,0,105,0.5861111111111111,0.40505973750649443
baseline,0,106,0.5916666666666667,0.3988130418658662
baseline,0,107,0.5972222222222222,0.39319524548796914
baseline,0,108,0.6027777777777777,0.38760304754532116
baseline,0,109,0.6083333333333333,0.3812876656949885
baseline,0,110,0.6138888888888889,0.37518859457851117
baseline,0,111,0.6194444444444445,0.3689074216461274
baseline,0,112,0.625,0.36330076200070915
baseline,0,113,0.6305555555555555,0.35676359585458767
baseline,0,114,0.6361111111111111,0.35066612891650945
baseline,0,115,0.6416666666666667,0.3447334108040975
baseline,0,116,0.6472222222222223,0.3394618682535133
baseline,0,117,0.6527777777777778,0.33456446473242646
baseline,0,118,0.6583333333333333,0.32865116671004874
baseline,0,119,0.6638888888888889,0.3226632335496859
baseline,0,120,0.6694444444444444,0.3172877728193571
baseline,0,121,0.675,0.31147305596136216
baseline,0,122,0.6805555555555556,0.3060539350295894
baseline,0,123,0.6861111111111111,0.2998161943240836
baseline,0,124,0.6916666666666667,0.29344212660846297
baseline,0,125,0.6972222222222222,0.2878967179193876
baseline,0,126,0.7027777777777777,0.281790360743091
baseline,0,127,0.7083333333333334,0.27633143783949266
baseline,0,128,0.7138888888888889,0.2704128865831804
baseline,0,129,0.7194444444444444,0.2644551566343887
baseline,0,130,0.725,0.2585767413638457
baseline,0,131,0.7305555555555555,0.25328132633321604
baseline,0,132,0.7361111111111112,0.24733310530022604
baseline,0,133,0.7416666666666667,0.24179751306226538
baseline,0,134,0.7472222222222222,0.23597588626914148
baseline,0,135,0.7527777777777778,0.2295547650787271
baseline,0,136,0.7583333333333333,0.22373397615323734
baseline,0,137,0.7638888888888888,0.21821249544873006
baseline,0,138,0.7694444444444445,0.21273225185891093
baseline,0,139,0.775,0.20709246680982157
baseline,0,140,0.7805555555555556,0.20183710338000013
baseline,0,141,0.7861111111111111,0.19710891354970073
baseline,0,142,0.7916666666666666,0.19241223765790555
baseline,0,143,0.7972222222222223,0.18754689368454988
baseline,0,144,0.8027777777777778,0.18188330645263928
baseline,0,145,0.8083333333333333,0.1756404354527855
baseline,0,146,0.8138888888888889,0.17070312147195701
baseline,0,147,0.8194444444444444,0.16532499247318796
baseline,0,148,0.825,0.15877487649869512
