step,time_s,x_over_L,cdf,survival
20000,0.00015000000000000001,0.45,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.452,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.454,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.456,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.458,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.46,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.462,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.464,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.466,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.468,0.9999333333333333,6.666666666665932e-05
20000,0.00015000000000000001,0.47000000000000003,0.9999666666666667,3.333333333332966e-05
20000,0.00015000000000000001,0.47200000000000003,0.9999666666666667,3.333333333332966e-05
20000,0.00015000000000000001,0.47400000000000003,1.0,0.0
20000,0.00015000000000000001,0.47600000000000003,1.0,0.0
20000,0.00015000000000000001,0.47800000000000004,1.0,0.0
20000,0.00015000000000000001,0.48,1.0,0.0
20000,0.00015000000000000001,0.482,1.0,0.0
20000,0.00015000000000000001,0.484,1.0,0.0
20000,0.00015000000000000001,0.486,1.0,0.0
20000,0.00015000000000000001,0.488,1.0,0.0
20000,0.00015000000000000001,0.49,1.0,0.0
20000,0.00015000000000000001,0.492,1.0,0.0
20000,0.00015000000000000001,0.494,1.0,0.0
20000,0.00015000000000000001,0.496,1.0,0.0
20000,0.00015000000000000001,0.498,1.0,0.0
20000,0.00015000000000000001,0.5,1.0,0.0
20000,0.00015000000000000001,0.502,1.0,0.0
20000,0.00015000000000000001,0.504,1.0,0.0
20000,0.00015000000000000001,0.506,1.0,0.0
20000,0.00015000000000000001,0.508,1.0,0.0
20000,0.00015000000000000001,0.51,1.0,0.0
20000,0.00015000000000000001,0.512,1.0,0.0
20000,0.00015000000000000001,0.514,1.0,0.0
20000,0.00015000000000000001,0.516,1.0,0.0
20000,0.00015000000000000001,0.518,1.0,0.0
20000,0.00015000000000000001,0.52,1.0,0.0
20000,0.00015000000000000001,0.522,1.0,0.0
20000,0.00015000000000000001,0.524,1.0,0.0
20000,0.00015000000000000001,0.526,1.0,0.0
20000,0.00015000000000000001,0.528,1.0,0.0
20000,0.00015000000000000001,0.53,1.0,0.0
20000,0.00015000000000000001,0.532,1.0,0.0
20000,0.00015000000000000001,0.534,1.0,0.0
20000,0.00015000000000000001,0.536,1.0,0.0
20000,0.00015000000000000001,0.538,1.0,0.0
20000,0.00015000000000000001,0.54,1.0,0.0
20000,0.00015000000000000001,0.542,1.0,0.0
20000,0.00015000000000000001,0.544,1.0,0.0
20000,0.00015000000000000001,0.546,1.0,0.0
20000,0.00015000000000000001,0.548,1.0,0.0
20000,0.00015000000000000001,0.55,1.0,0.0
20000,0.00015000000000000001,0.552,1.0,0.0
20000,0.00015000000000000001,0.554,1.0,0.0
20000,0.00015000000000000001,0.556,1.0,0.0
20000,0.00015000000000000001,0.558,1.0,0.0
20000,0.00015000000000000001,0.56,1.0,0.0
20000,0.00015000000000000001,0.562,1.0,0.0
20000,0.00015000000000000001,0.5640000000000001,1.0,0.0
20000,0.00015000000000000001,0.5660000000000001,1.0,0.0
20000,0.00015000000000000001,0.5680000000000001,1.0,0.0
20000,0.00015000000000000001,0.5700000000000001,1.0,0.0
20000,0.00015000000000000001,0.5720000000000001,1.0,0.0
20000,0.00015000000000000001,0.5740000000000001,1.0,0.0
20000,0.00015000000000000001,0.5760000000000001,1.0,0.0
20000,0.00015000000000000001,0.578,1.0,0.0
20000,0.00015000000000000001,0.58,1.0,0.0
20000,0.00015000000000000001,0.582,1.0,0.0
20000,0.00015000000000000001,0.584,1.0,0.0
20000,0.00015000000000000001,0.586,1.0,0.0
20000,0.00015000000000000001,0.588,1.0,0.0
20000,0.00015000000000000001,0.59,1.0,0.0
20000,0.00015000000000000001,0.592,1.0,0.0
20000,0.00015000000000000001,0.594,1.0,0.0
20000,0.00015000000000000001,0.596,1.0,0.0
20000,0.00015000000000000001,0.598,1.0,0.0
20000,0.00015000000000000001,0.6,1.0,0.0
20000,0.00015000000000000001,0.602,1.0,0.0
20000,0.00015000000000000001,0.604,1.0,0.0
20000,0.00015000000000000001,0.606,1.0,0.0
20000,0.00015000000000000001,0.608,1.0,0.0
20000,0.00015000000000000001,0.61,1.0,0.0
20000,0.00015000000000000001,0.612,1.0,0.0
20000,0.00015000000000000001,0.614,1.0,0.0
20000,0.00015000000000000001,0.616,1.0,0.0
20000,0.00015000000000000001,0.618,1.0,0.0
20000,0.00015000000000000001,0.62,1.0,0.0
20000,0.00015000000000000001,0.622,1.0,0.0
20000,0.00015000000000000001,0.624,1.0,0.0
20000,0.00015000000000000001,0.626,1.0,0.0
20000,0.00015000000000000001,0.628,1.0,0.0
20000,0.00015000000000000001,0.63,1.0,0.0
20000,0.00015000000000000001,0.632,1.0,0.0
20000,0.00015000000000000001,0.634,1.0,0.0
20000,0.00015000000000000001,0.636,1.0,0.0
20000,0.00015000000000000001,0.638,1.0,0.0
20000,0.00015000000000000001,0.64,1.0,0.0
20000,0.00015000000000000001,0.642,1.0,0.0
20000,0.00015000000000000001,0.644,1.0,0.0
20000,0.00015000000000000001,0.646,1.0,0.0
20000,0.00015000000000000001,0.648,1.0,0.0
20000,0.00015000000000000001,0.65,1.0,0.0
20000,0.00015000000000000001,0.652,1.0,0.0
20000,0.00015000000000000001,0.654,1.0,0.0
20000,0.00015000000000000001,0.656,1.0,0.0
20000,0.00015000000000000001,0.658,1.0,0.0
20000,0.00015000000000000001,0.66,1.0,0.0
20000,0.00015000000000000001,0.662,1.0,0.0
20000,0.00015000000000000001,0.664,1.0,0.0
20000,0.00015000000000000001,0.666,1.0,0.0
20000,0.00015000000000000001,0.668,1.0,0.0
20000,0.00015000000000000001,0.67,1.0,0.0
20000,0.00015000000000000001,0.672,1.0,0.0
20000,0.00015000000000000001,0.674,1.0,0.0
20000,0.00015000000000000001,0.676,1.0,0.0
20000,0.00015000000000000001,0.678,1.0,0.0
20000,0.00015000000000000001,0.68,1.0,0.0
20000,0.00015000000000000001,0.682,1.0,0.0
20000,0.00015000000000000001,0.684,1.0,0.0
20000,0.00015000000000000001,0.686,1.0,0.0
20000,0.00015000000000000001,0.6880000000000001,1.0,0.0
20000,0.00015000000000000001,0.6900000000000001,1.0,0.0
20000,0.00015000000000000001,0.6920000000000001,1.0,0.0
20000,0.00015000000000000001,0.6940000000000001,1.0,0.0
20000,0.00015000000000000001,0.6960000000000001,1.0,0.0
