step,time_s,n,x_p50_over_L,x_p90_over_L,x_p99_over_L,x_p999_over_L,x_max_over_L,fraction_x_gt_0p40,fraction_x_gt_0p60,fraction_x_gt_0p80,fraction_x_gt_0p95,fraction_x_ge_1p00
500000,0.00255,30000,0.3346988888888889,0.3883271111111111,0.40171784444444447,0.4414826800000001,0.9970022222222222,0.0224,0.0004,0.00016666666666666666,6.666666666666667e-05,0.0
600000,0.00305,30000,0.3353188888888889,0.3890048888888889,0.4025422444444445,0.45443987555555604,0.9895111111111111,0.026733333333333335,0.0004333333333333333,0.0002,0.0001,0.0
680000,0.0034500000000000004,30000,0.33587222222222224,0.3895826666666667,0.4032934222222222,0.4644879444444452,0.9923022222222223,0.0308,0.0004333333333333333,0.00023333333333333333,0.00013333333333333334,0.0
700000,0.00355,30000,0.33604,0.38972666666666667,0.4035112666666667,0.46700533333333355,0.983508888888889,0.03183333333333333,0.00046666666666666666,0.00023333333333333333,0.0001,0.0
740000,0.0037500000000000003,30000,0.3362888888888889,0.39003355555555563,0.4039934,0.47104545111111135,0.9793911111111112,0.034166666666666665,0.00046666666666666666,0.00023333333333333333,0.0001,0.0
800000,0.00405,30000,0.3367,0.3905095555555556,0.40468462222222223,0.48173335111111115,0.9751844444444445,0.037066666666666664,0.0005,0.00023333333333333333,6.666666666666667e-05,0.0
820000,0.00415,30000,0.3368711111111111,0.3906313333333334,0.4048448,0.48529798666666674,0.9889511111111112,0.038233333333333334,0.0005666666666666667,0.0002,6.666666666666667e-05,0.0
860000,0.00435,30000,0.33717555555555556,0.3909002222222222,0.4052936222222222,0.4872614488888892,0.9857866666666667,0.03983333333333333,0.0005666666666666667,0.00023333333333333333,6.666666666666667e-05,0.0
920000,0.00465,30000,0.33759666666666666,0.3913246666666667,0.40604895555555554,0.49490305333333356,0.9670022222222223,0.043,0.0005666666666666667,0.00023333333333333333,6.666666666666667e-05,0.0
960000,0.00485,30000,0.33787222222222224,0.39166133333333336,0.40658231111111104,0.5013206622222229,0.9678,0.045,0.0006333333333333333,0.00023333333333333333,3.3333333333333335e-05,0.0
980000,0.0049499999999999995,30000,0.33799222222222225,0.3918075555555556,0.4068267333333333,0.5084380000000001,0.9669866666666668,0.046233333333333335,0.0006333333333333333,0.00023333333333333333,3.3333333333333335e-05,0.0
1040000,0.0052499999999999995,30000,0.3383966666666667,0.39230044444444445,0.4075692666666666,0.5211456777777785,0.9645977777777778,0.048933333333333336,0.0007,0.00023333333333333333,3.3333333333333335e-05,0.0
1080000,0.00545,30000,0.3387266666666667,0.39268066666666673,0.40805157777777773,0.5309807800000002,0.9630422222222222,0.05126666666666667,0.0007,0.00023333333333333333,6.666666666666667e-05,0.0
1120000,0.00565,30000,0.33907888888888893,0.39303777777777776,0.40866895555555555,0.5389336933333347,0.9635600000000001,0.05333333333333334,0.0007,0.00023333333333333333,6.666666666666667e-05,0.0
1200000,0.00605,30000,0.33964444444444447,0.3937117777777778,0.4098866666666667,0.5550412711111119,0.9866333333333334,0.057833333333333334,0.0007333333333333333,0.0003333333333333333,6.666666666666667e-05,0.0
1220000,0.00615,30000,0.33975888888888894,0.3938515555555556,0.41020446666666666,0.559275948888889,0.9923977777777778,0.0592,0.0008,0.0003333333333333333,6.666666666666667e-05,0.0
1260000,0.00635,30000,0.3400311111111112,0.3942337777777778,0.4108025333333332,0.5640562711111117,0.9964022222222222,0.06143333333333333,0.0009,0.00036666666666666667,0.0001,0.0
