particle_id,initial_z_m,retained_at_final_time,outlet_interval_start_s,outlet_interval_end_s,outlet_time_midpoint_s
2451,0.0180458,True,nan,nan,nan
2452,0.0292673,True,nan,nan,nan
2453,0.0203577,False,0.09999999999999999,0.19999999999999998,0.15
2454,0.0277924,True,nan,nan,nan
2455,0.0207896,True,nan,nan,nan
2456,0.0206351,True,nan,nan,nan
2457,0.0225057,True,nan,nan,nan
2458,0.0253253,True,nan,nan,nan
2459,0.0194723,True,nan,nan,nan
2460,0.0208044,True,nan,nan,nan
2461,0.0187717,True,nan,nan,nan
2462,0.0221482,True,nan,nan,nan
2463,0.0247695,True,nan,nan,nan
2464,0.028261,True,nan,nan,nan
2465,0.0278017,True,nan,nan,nan
2466,0.0195397,True,nan,nan,nan
2467,0.0295687,True,nan,nan,nan
2468,0.0234438,True,nan,nan,nan
2469,0.0286248,True,nan,nan,nan
2470,0.0151136,True,nan,nan,nan
2471,0.0161956,False,0.09999999999999999,0.19999999999999998,0.15
2472,0.0212922,True,nan,nan,nan
2473,0.021877,True,nan,nan,nan
2474,0.0237412,True,nan,nan,nan
2475,0.020928,True,nan,nan,nan
2476,0.0287274,False,0.19999999999999998,0.3,0.25
2477,0.0290828,True,nan,nan,nan
2478,0.0279052,True,nan,nan,nan
2479,0.0272899,True,nan,nan,nan
2480,0.0272029,True,nan,nan,nan
2481,0.0263577,True,nan,nan,nan
2482,0.0188956,True,nan,nan,nan
2483,0.0179545,True,nan,nan,nan
2484,0.0278333,True,nan,nan,nan
2485,0.0201854,True,nan,nan,nan
2486,0.0204923,True,nan,nan,nan
2487,0.023824,True,nan,nan,nan
2488,0.0237082,True,nan,nan,nan
2489,0.0275117,True,nan,nan,nan
2490,0.0194537,True,nan,nan,nan
2491,0.0283879,True,nan,nan,nan
2492,0.0179288,True,nan,nan,nan
2493,0.0265073,True,nan,nan,nan
2494,0.0246049,True,nan,nan,nan
2495,0.0211537,True,nan,nan,nan
2496,0.0240647,True,nan,nan,nan
2497,0.0164416,True,nan,nan,nan
2498,0.0269437,True,nan,nan,nan
2499,0.0279416,True,nan,nan,nan
2500,0.0205038,True,nan,nan,nan
2501,0.02829,True,nan,nan,nan
2502,0.0177397,True,nan,nan,nan
2503,0.0166062,True,nan,nan,nan
2504,0.024111,True,nan,nan,nan
2505,0.0155448,True,nan,nan,nan
2506,0.0166843,True,nan,nan,nan
2507,0.0154954,True,nan,nan,nan
2508,0.023453,True,nan,nan,nan
2509,0.0179569,True,nan,nan,nan
2510,0.0243939,True,nan,nan,nan
2511,0.0157086,True,nan,nan,nan
2512,0.0260343,True,nan,nan,nan
2513,0.0215301,True,nan,nan,nan
2514,0.0202619,True,nan,nan,nan
2515,0.0186861,True,nan,nan,nan
2516,0.0222328,True,nan,nan,nan
2517,0.0236981,True,nan,nan,nan
2518,0.0217985,True,nan,nan,nan
2519,0.0221854,True,nan,nan,nan
2520,0.0274657,True,nan,nan,nan
2521,0.0164951,True,nan,nan,nan
2522,0.0252571,True,nan,nan,nan
2523,0.0291262,True,nan,nan,nan
2524,0.0219495,True,nan,nan,nan
2525,0.0191508,True,nan,nan,nan
2526,0.0298328,True,nan,nan,nan
2527,0.0283099,True,nan,nan,nan
2528,0.0262769,True,nan,nan,nan
2529,0.0290949,True,nan,nan,nan
2530,0.0161499,True,nan,nan,nan
2531,0.0246402,True,nan,nan,nan
2532,0.0226991,True,nan,nan,nan
2533,0.0239796,True,nan,nan,nan
2534,0.0200173,True,nan,nan,nan
2535,0.023598,True,nan,nan,nan
2536,0.0228358,True,nan,nan,nan
2537,0.0233272,True,nan,nan,nan
2538,0.0211247,True,nan,nan,nan
2539,0.0199493,True,nan,nan,nan
2540,0.0232199,True,nan,nan,nan
2541,0.0239105,False,0.19999999999999998,0.3,0.25
2542,0.0228662,True,nan,nan,nan
2543,0.0270905,True,nan,nan,nan
2544,0.0260926,True,nan,nan,nan
2545,0.0181313,True,nan,nan,nan
2546,0.0276977,True,nan,nan,nan
2547,0.0262974,True,nan,nan,nan
2548,0.0259469,True,nan,nan,nan
2549,0.0275312,True,nan,nan,nan
2550,0.0189696,True,nan,nan,nan
2551,0.0271377,True,nan,nan,nan
2552,0.0208653,False,0.09999999999999999,0.19999999999999998,0.15
2553,0.0208013,True,nan,nan,nan
2554,0.0254303,True,nan,nan,nan
2555,0.0229094,True,nan,nan,nan
2556,0.0231358,True,nan,nan,nan
2557,0.0157903,True,nan,nan,nan
2558,0.0194529,True,nan,nan,nan
2559,0.0298874,True,nan,nan,nan
2560,0.0258691,True,nan,nan,nan
2561,0.0179068,True,nan,nan,nan
2562,0.0180787,True,nan,nan,nan
2563,0.0245005,True,nan,nan,nan
2564,0.0253751,False,0.09999999999999999,0.19999999999999998,0.15
2565,0.01901,True,nan,nan,nan
2566,0.018876,True,nan,nan,nan
2567,0.0271668,True,nan,nan,nan
2568,0.0203998,True,nan,nan,nan
2569,0.0182995,True,nan,nan,nan
2570,0.0179922,True,nan,nan,nan
2571,0.0240051,True,nan,nan,nan
2572,0.0252056,True,nan,nan,nan
2573,0.0257951,True,nan,nan,nan
2574,0.0263052,True,nan,nan,nan
2575,0.0263243,True,nan,nan,nan
2576,0.0163154,True,nan,nan,nan
2577,0.0187424,True,nan,nan,nan
2578,0.0242667,True,nan,nan,nan
2579,0.0298912,True,nan,nan,nan
2580,0.0227532,True,nan,nan,nan
2581,0.0164542,True,nan,nan,nan
2582,0.024923,True,nan,nan,nan
2583,0.0264037,True,nan,nan,nan
2584,0.0189426,True,nan,nan,nan
2585,0.0274069,True,nan,nan,nan
2586,0.0210112,True,nan,nan,nan
2587,0.0208141,True,nan,nan,nan
2588,0.0190756,True,nan,nan,nan
2589,0.0226439,True,nan,nan,nan
2590,0.0239071,True,nan,nan,nan
2591,0.0274437,True,nan,nan,nan
2592,0.0155466,True,nan,nan,nan
2593,0.0278089,True,nan,nan,nan
2594,0.0163045,True,nan,nan,nan
2595,0.0243956,True,nan,nan,nan
2596,0.0292131,True,nan,nan,nan
2597,0.026069,True,nan,nan,nan
2598,0.0158047,True,nan,nan,nan
2599,0.0252536,True,nan,nan,nan
2600,0.0294472,True,nan,nan,nan
2601,0.0193301,True,nan,nan,nan
2602,0.0166279,True,nan,nan,nan
2603,0.0154892,True,nan,nan,nan
2604,0.0235329,True,nan,nan,nan
2605,0.015279,True,nan,nan,nan
2606,0.024072,True,nan,nan,nan
2607,0.0159013,True,nan,nan,nan
2608,0.0168071,True,nan,nan,nan
2609,0.0182367,True,nan,nan,nan
2610,0.0230467,True,nan,nan,nan
2611,0.0151746,False,0.0,0.09999999999999999,0.049999999999999996
2612,0.0253435,True,nan,nan,nan
2613,0.0258504,True,nan,nan,nan
2614,0.026407,False,0.09999999999999999,0.19999999999999998,0.15
2615,0.0281474,True,nan,nan,nan
2616,0.0176392,True,nan,nan,nan
2617,0.0168385,True,nan,nan,nan
2618,0.0154493,True,nan,nan,nan
2619,0.0295888,True,nan,nan,nan
2620,0.0169749,True,nan,nan,nan
2621,0.0209119,True,nan,nan,nan
2622,0.0234973,True,nan,nan,nan
2623,0.0157132,True,nan,nan,nan
2624,0.0264218,True,nan,nan,nan
2625,0.0213723,True,nan,nan,nan
2626,0.0198605,True,nan,nan,nan
2627,0.0169235,True,nan,nan,nan
