ix,iy,iz,resolved_x_center_m,unresolved_x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
0,4,2,0.0034999999999999996,0.026250000000000002,0.01125,0.0065,6.082370380244417e-09,0.3742997157073487,0.382237,0.4,0.22635150482740285,0.011842307583542955,0.06711301098272784,0.3066630753150581,0.22102331948985213,0.18204,0.00316504,0.00793002,0.08472330390682746,0.069582425,105.84631127916582,140.51
0,4,3,0.0034999999999999996,0.026250000000000002,0.01125,0.0091,5.43140833294083e-09,0.33424051279635875,0.343349,0.4,0.19755958403938811,-0.003389088560056484,0.08965698974615989,0.2875125913083127,0.20886544873662782,0.101284,0.000917451,0.00350375,0.06603241667716041,0.03477576,97.23451130892406,139.64
0,4,4,0.0034999999999999996,0.026250000000000002,0.01125,0.011699999999999999,7.50844683940688e-09,0.4620582670404233,0.476679,0.476679,0.34119564596499796,0.05753612404356521,0.07001618032381451,0.4208544624151318,0.3647622302307001,0.401575,0.0179061,0.00670941,0.15765226889632475,0.19142237,81.70707975158692,138.852
0,5,0,0.0034999999999999996,0.026250000000000002,0.01375,0.0013,6.952295139306295e-09,0.4278335470342338,0.441124,0.441124,0.27783012181225997,-0.0023813923356383283,0.01857068156876874,0.3422201230898583,0.23993190874760423,0.381272,-0.00721108,0.00681281,0.11886504648789244,0.16818821,110.74184781919816,143.063
0,5,1,0.0034999999999999996,0.026250000000000002,0.01375,0.0039,6.374516732212092e-09,0.3922779527515136,0.415569,0.415569,0.2752620658051614,-0.0017023693237915045,0.02666826723742454,0.3432526737977618,0.25116861531857704,0.264825,-0.00402356,0.014414,0.10797923964420113,0.110053055,107.76324882351932,142.283
0,5,2,0.0034999999999999996,0.026250000000000002,0.01375,0.0065,6.1671080100257644e-09,0.3795143390785088,0.40557,0.40557,0.21835751661444022,-0.009390044001241743,0.0693003160967717,0.28273303740776806,0.20903373707998654,0.283185,-0.000786861,0.0164086,0.08286980860075378,0.11485134,101.65529157741847,140.634
0,5,3,0.0034999999999999996,0.026250000000000002,0.01375,0.0091,5.729480102554066e-09,0.3525833909264043,0.373348,0.4,0.19905827138911272,0.001631340431498467,0.049138166130121445,0.2555267302004585,0.1991885192661341,0.23067,0.000444365,0.013041,0.0701846403183218,0.08612019,92.8000941655781,139.556
0,5,4,0.0034999999999999996,0.026250000000000002,0.01375,0.011699999999999999,7.329184420702607e-09,0.45102673358169915,0.457791,0.457791,0.38758282731370725,-0.0014650229845030937,0.0618704453148437,0.45206893145065774,0.41450389571539986,0.475453,0.00964011,0.0165022,0.17481021659566115,0.2176581,79.44325510226764,137.966
1,0,0,0.006,0.028749999999999998,0.00125,0.0013,6.282963607975327e-09,0.3866439143369431,0.377792,0.4,0.2981598232126313,0.01790305538079252,0.01834358438003747,0.34984905591229326,0.27107391018683663,0.309141,0.00802297,0.00491209,0.11528168114494272,0.116791,79.11499651766836,121.314
1,0,1,0.006,0.028749999999999998,0.00125,0.0039,6.103111248149379e-09,0.37557607680919247,0.365571,0.4,0.2599747517070738,0.01119239501399891,0.014766203927578386,0.3305241001376274,0.23257892697690247,0.244576,0.00565836,0.0140379,0.09764029731558668,0.089409895,76.51447970058437,120.567
