timestep,time_s,retained_count,retained_fraction,cumulative_outlet_count,cumulative_breakthrough_fraction,new_outlet_count,z_mean_m,z_p10_m,z_p50_m,z_p90_m,downward_velocity_mean_m_s
5800000,5.8,4104,1.0,0,0.0,0,0.011567006844298247,0.01043773,0.01185565,0.012338980000000001,3.5710009015813854e-05
5900000,5.8999999999999995,4104,1.0,0,0.0,0,0.011566040079434696,0.01043585,0.0118551,0.012339280000000001,-0.0001618606673443737
6000000,6.0,4104,1.0,0,0.0,0,0.01157117983308967,0.01043582,0.0118539,0.01234067,-1.5844459377461017e-05
6100000,6.1,4104,1.0,0,0.0,0,0.011560203038986356,0.01043582,0.01185395,0.01233813,3.010780284490739e-05
6200000,6.199999999999999,4104,1.0,0,0.0,0,0.011556445649122808,0.01043582,0.01185395,0.01233763,7.879747277041904e-05
6300000,6.3,4104,1.0,0,0.0,0,0.011551604371588692,0.01043582,0.01185425,0.01233844,-7.338161051820177e-05
6400000,6.3999999999999995,4104,1.0,0,0.0,0,0.011556507318713449,0.01043563,0.01185455,0.01233638,-0.00017904773204953698
6500000,6.5,4104,1.0,0,0.0,0,0.011551817671539961,0.01043563,0.01185575,0.01233737,8.04287013607919e-05
6600000,6.6,4104,1.0,0,0.0,0,0.011578615377436648,0.01043563,0.0118529,0.01234141,0.0004688932939037281
6700000,6.699999999999999,4104,1.0,0,0.0,0,0.011582042331140352,0.01043563,0.0118541,0.01234267,4.0263237123075025e-05
6800000,6.8,4104,1.0,0,0.0,0,0.011579835876218324,0.01043563,0.011853849999999999,0.0123426,0.0002462767588096248
6900000,6.8999999999999995,4104,1.0,0,0.0,0,0.011565523109892787,0.01043563,0.011854,0.01234114,7.170106911626705e-05
7000000,7.0,4104,1.0,0,0.0,0,0.011561904204922027,0.01043563,0.011853800000000001,0.01234075,4.035645067832234e-05
7100000,7.1,4104,1.0,0,0.0,0,0.011551877281676413,0.01043563,0.011853849999999999,0.01233984,-2.085882349403025e-06
7200000,7.199999999999999,4104,1.0,0,0.0,0,0.011549839741471736,0.01043563,0.01185375,0.01233941,1.0621800383503955e-06
7300000,7.3,4104,1.0,0,0.0,0,0.011549759114278755,0.01043497,0.01185395,0.01233944,4.749708136915205e-05
7400000,7.3999999999999995,4104,1.0,0,0.0,0,0.011549662206140352,0.01043497,0.0118537,0.01233975,1.5085661631966373e-05
7500000,7.5,4104,1.0,0,0.0,0,0.011554254992690057,0.01043442,0.011853,0.0123407,-0.0005663980875893276
7600000,7.6,4104,1.0,0,0.0,0,0.011632000265107212,0.01043442,0.011854,0.01235115,-0.0010352120176811894
7700000,7.699999999999999,4104,1.0,0,0.0,0,0.011664863839912281,0.01043442,0.01185415,0.012354770000000001,0.002110648361130363
7800000,7.8,4104,1.0,0,0.0,0,0.011618373124025342,0.01043442,0.011854449999999999,0.01234887,6.04786680395965e-06
7900000,7.8999999999999995,4104,1.0,0,0.0,0,0.011575267405214426,0.01043442,0.0118535,0.01234569,0.0002683342358770443
8000000,8.0,4104,1.0,0,0.0,0,0.011565529295077972,0.01043442,0.01185255,0.012344270000000001,0.0003132874229063085
8100000,8.1,4104,1.0,0,0.0,0,0.011559419608430798,0.01043442,0.0118521,0.012343970000000001,0.0002555712866693226
8200000,8.2,4104,1.0,0,0.0,0,0.01155522272831384,0.01043442,0.011851750000000001,0.01234234,5.8241628800367935e-05
8300000,8.299999999999999,4104,1.0,0,0.0,0,0.011569251955409357,0.01043435,0.0118513,0.012344540000000001,-0.0011956933860674582
8400000,8.4,4104,1.0,0,0.0,0,0.011591083003898635,0.01043442,0.0118522,0.01234562,0.000933881922097807
8500000,8.5,4104,1.0,0,0.0,0,0.011556299499756336,0.01043442,0.01185185,0.01234437,-0.00035326077492054103
8600000,8.6,4104,1.0,0,0.0,0,0.011565666422758285,0.01043442,0.011852399999999999,0.01234447,-0.00042167843402913987
8700000,8.7,4104,1.0,0,0.0,0,0.011559696540448344,0.01043442,0.0118506,0.01234437,-4.8883864656059926e-05
8800000,8.799999999999999,4104,1.0,0,0.0,0,0.0115867090124269,0.01043442,0.011852999999999999,0.0123474,0.0007653147072240496
8900000,8.9,4104,1.0,0,0.0,0,0.011566747555799221,0.01043442,0.011852999999999999,0.01234584,-6.253118077022404e-06
9000000,9.0,4104,1.0,0,0.0,0,0.011556545268031189,0.01043178,0.01185265,0.0123448,3.5481745025899136e-05
9100000,9.1,4104,1.0,0,0.0,0,0.011590584994639377,0.01043178,0.01185245,0.0123485,-0.0016959837386210765
9200000,9.2,4104,1.0,0,0.0,0,0.011626116167641325,0.010431850000000001,0.01185305,0.01235261,0.00017242454928830407
9300000,9.299999999999999,4104,1.0,0,0.0,0,0.011578928588206626,0.01043178,0.011852950000000001,0.01234977,0.00017252911976208568
9400000,9.4,4104,1.0,0,0.0,0,0.011615135380116959,0.010431850000000001,0.01184905,0.01235088,-0.0017248825877551706
9500000,9.5,4104,1.0,0,0.0,0,0.011638826460038986,0.010431850000000001,0.0118549,0.01235471,0.001360155284811993
9600000,9.6,4104,1.0,0,0.0,0,0.011588344320419103,0.01043442,0.01185285,0.0123508,-0.0002964207481623709
9700000,9.7,4104,1.0,0,0.0,0,0.011562454988304093,0.01043442,0.01185285,0.0123478,0.00025369688569689563
9800000,9.799999999999999,4104,1.0,0,0.0,0,0.011554054153021442,0.01042608,0.011853349999999999,0.01234767,-2.3268495092007794e-05
9900000,9.9,4104,1.0,0,0.0,0,0.011553154632066277,0.010431850000000001,0.011853349999999999,0.0123473,6.030563240801657e-05
10000000,10.0,4104,1.0,0,0.0,0,0.011553764566764133,0.010431850000000001,0.011853349999999999,0.01234664,0.0001754547240544591
10100000,10.1,4104,1.0,0,0.0,0,0.011552483656920078,0.010431850000000001,0.011851750000000001,0.01234587,-4.649951781347466e-05
10200000,10.2,4104,1.0,0,0.0,0,0.011548839186647175,0.010431850000000001,0.01185185,0.0123455,1.2670562422149122e-05
10300000,10.299999999999999,4104,1.0,0,0.0,0,0.011575383541910332,0.01043178,0.0118516,0.01234825,-0.001315328047692144
10400000,10.4,4104,1.0,0,0.0,0,0.011563275248050682,0.01042482,0.0118525,0.01234698,-0.00013846238840433737
