transition_time_s,n,empirical,low,high,fitted,state
5.740202697056305e-4,12,0.44740962799253414,0.44740962799253414,0.44740962799253414,0.47400539676736764,Low mobility
5.996535500368258e-4,12,0.43972755981562195,0.43972755981562195,0.43972755981562195,0.4641488782801947,Low mobility
6.264315025951439e-4,12,0.42602305552652997,0.42602305552652997,0.42602305552652997,0.45432823460560967,Low mobility
6.544052435268851e-4,12,0.42452574209389643,0.42452574209389643,0.42452574209389643,0.44454982309075597,Low mobility
6.836281716059424e-4,12,0.4220535041799848,0.4220535041799848,0.4220535041799848,0.4348385210162977,Low mobility
7.141560701661525e-4,12,0.40038824763463154,0.40038824763463154,0.40038824763463154,0.4251896158129158,Low mobility
7.460472135854981e-4,12,0.39814327675989475,0.39814327675989475,0.39814327675989475,0.41560172702461606,Low mobility
7.79362478525448e-4,12,0.3965048583634484,0.3965048583634484,0.3965048583634484,0.40608056898587824,Low mobility
8.141654601377574e-4,12,0.3713029568983359,0.3713029568983359,0.3713029568983359,0.39663167965053053,Low mobility
8.505225934605756e-4,12,0.36607312152981375,0.36607312152981375,0.36607312152981375,0.3872604124061493,Low mobility
8.885032802355756e-4,12,0.3591327047590964,0.3591327047590964,0.3591327047590964,0.3779719287600477,Low mobility
9.281800213881923e-4,12,0.3412917743857764,0.3412917743857764,0.3412917743857764,0.3687849648831014,Low mobility
9.696285554238623e-4,12,0.3393970701142395,0.3393970701142395,0.3393970701142395,0.35970433772320065,Low mobility
0.0010129280030044465,12,0.31788355195241813,0.31788355195241813,0.31788355195241813,0.3507210612285192,Low mobility
0.0010581610179808106,12,0.30974192919080146,0.30974192919080146,0.30974192919080146,0.34183942249237464,Low mobility
0.0011054139451698712,12,0.29883820927940985,0.29883820927940985,0.29883820927940985,0.33306349198970797,Low mobility
0.0011547769851772958,12,0.2936095546771359,0.2936095546771359,0.2936095546771359,0.3243971212625164,Low mobility
0.0012063443665804691,12,0.2828407400319242,0.2828407400319242,0.2828407400319242,0.31584394131729476,Low mobility
0.0012602145258004105,12,0.2813798612300952,0.2813798612300952,0.2813798612300952,0.3074153616137063,Low mobility
0.0013164902950060034,12,0.2704549739199887,0.2704549739199887,0.2704549739199887,0.2991262144148029,Low mobility
0.0013752790984092218,12,0.26657150632575066,0.26657150632575066,0.26657150632575066,0.2909598411364873,Low mobility
0.0014366931573260545,12,0.2532599243865026,0.2532599243865026,0.2532599243865026,0.2829189364234558,Low mobility
0.0015008497043945655,12,0.24514245636790893,0.24514245636790893,0.24514245636790893,0.2750059760732195,Low mobility
0.001567871207359028,12,0.23858209193216523,0.23858209193216523,0.23858209193216523,0.2672232190964302,Low mobility
0.001637885602847282,12,0.2304599560183237,0.2304599560183237,0.2304599560183237,0.2595727102330806,Low mobility
0.0017110265405875895,12,0.22717694351868395,0.22717694351868395,0.22717694351868395,0.2520583177769549,Low mobility
0.001787433638531167,12,0.22316660531487542,0.22316660531487542,0.22316660531487542,0.24470425891339118,Low mobility
0.0018672527493673993,12,0.21531561792888596,0.21531561792888596,0.21531561792888596,0.23748708926048304,Low mobility
0.0019506362389404698,12,0.20853005659398938,0.20853005659398938,0.20853005659398938,0.23040798337129043,Low mobility
0.00203774327709888,12,0.2038979895060119,0.2038979895060119,0.2038979895060119,0.22346792087534956,Low mobility
