condition,case,origin_start_s,lag_s,raw_msd_x_m2,centered_msd_x_m2,centered_displacement_p50_m,centered_displacement_p90_m,centered_displacement_p99_m,non_gaussian_parameter_x,mean_increment_x_m,normalized_velocity_correlation,velocity_autocorrelation,velocity_covariance_m2_s2,velocity_origin_variance_m2_s2,velocity_endpoint_variance_m2_s2,velocity_endpoint_to_origin_variance_ratio,time_origin_particle_pair_count,bed_resident_particle_count,local_centered_msd_exponent,reference_msd,msd_ratio
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01449999999999991,9.209404316608672e-7,4.3387126415331475e-7,5.7553153692466e-4,9.7679576511944e-4,0.0015779439886649,-0.23285888950566216,6.9646805129967e-4,0.3874716999627747,0.3874716999627747,0.00143789928053227,0.00370958009596697,0.00371237811594767,1.0007542686526012,135600,100,1.7436650209288662,4.755704151489331e-7,0.9123176091966118
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01499999999999991,9.813639228088818e-7,4.6029465835731826e-7,5.9532183677082e-4,0.00100227123668486,0.00162210983323316,-0.2391701187615477,7.2041223923524e-4,0.3890363649915153,0.3890363649915153,0.00144323605991223,0.00370948997213859,0.00371005325798036,1.0001518499432538,135100,100,1.7455551706396832,5.048639431812106e-7,0.911720206154839
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.0154999999999999,1.0435812350908234e-6,4.874110039331424e-7,6.1417554164359e-4,0.00102706964131281,0.00166251803293685,-0.24508145963651273,7.4432841813713e-4,0.3908592386803521,0.3908592386803521,0.00144961075936903,0.0037104883576897,0.00370707157030818,0.9990791542643052,134600,100,1.7477438111232164,5.349438283178579e-7,0.9111442699803015
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.0159999999999999,1.1076200883009824e-6,5.152359692555037e-7,6.3289968456916e-4,0.00105153432814152,0.00170194935758937,-0.25064034150486214,7.6822677092677e-4,0.3917125693577832,0.3917125693577832,0.00145261116750511,0.00371234784407506,0.00370437615308073,0.997852655158096,134100,100,1.75037611843128,5.657987297353759e-7,0.9106347225213453
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.0165999999999999,1.1868700099890136e-6,5.495535740921164e-7,6.5512149161663e-4,0.00107740519410576,0.00175719540906887,-0.2569119935912728,7.9688725853706e-4,0.39066863957324144,0.39066863957324144,0.00144843344989803,0.00371420679789841,0.00370095590457093,0.99643237599614,133500,100,1.7532975982613246,6.038610212366708e-7,0.9100663145414883
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01709999999999989,1.2549127911989811e-6,5.789170925848943e-7,6.7327726133145e-4,0.00110054670556448,0.00179826864475943,-0.2619226434625792,8.2076102547342e-4,0.3932105072213375,0.3932105072213375,0.00145742176040243,0.0037134629885273,0.00369948414758522,0.9962356320810858,133000,100,1.7566687042836802,6.364749866483196e-7,0.9095677045118058
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01769999999999989,1.3389790747676972e-6,6.150857150517715e-7,6.955598748233e-4,0.00112793217483626,0.00184449655372691,-0.26769933376180843,8.493970692898e-4,0.3943317274318038,0.3943317274318038,0.0014610415956294,0.00371114295537724,0.00369908264414264,0.9967502434210688,132400,100,1.760143265302893,6.766756728487323e-7,0.9089815693570398
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01829999999999989,1.4257074472025808e-6,6.522908432987824e-7,7.1832177651451e-4,0.00115902396138578,0.00188774949222627,-0.27318648527334477,8.7802454403959e-4,0.39209542241163536,0.39209542241163536,0.0014525059633099,0.00371065531090356,0.0036982961902507,0.9966692889483572,131800,100,1.7639880072910694,7.180402094865911e-7,0.9084321945774869
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01889999999999988,1.5150958832535586e-6,6.905237029997105e-7,7.4092892772425e-4,0.0011910852167,0.0019342310621309,-0.278421406810611,9.0664832565893e-4,0.38755135541223346,0.38755135541223346,0.00143563121567665,0.00371107593507689,0.00369766382584809,0.996385924334766,131200,100,1.768229509369444,7.605927737982987e-7,0.9078757079840865
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.01959999999999988,1.6227688327326873e-6,7.364292133807105e-7,7.6813709466426e-4,0.00122167353426148,0.00200266298162564,-0.2842572794218099,9.4004992935619e-4,0.38201213783837895,0.38201213783837895,0.00141576304865284,0.00371384736221417,0.00369830539811455,0.995815131160817,130500,100,1.772664217231105,8.117744394959204e-7,0.9071845300253649
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02019999999999987,1.7179816032680296e-6,7.769052402351672e-7,7.9169506393741e-4,0.00124830400475029,0.00205713303455801,-0.2890440706362325,9.6868913783985e-4,0.3795363434319462,0.3795363434319462,0.00140734778626352,0.00371808542321662,0.00369808395852738,0.9946204935033628,129900,100,1.777241136046998,8.569874129069489e-7,0.9065538519403238
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02089999999999987,1.8325144438425371e-6,8.254609346526978e-7,8.1874696827174e-4,0.00128302990712718,0.00211175908073154,-0.29442268173393715,0.00100212499599163,0.3788245456431669,0.3788245456431669,0.00140587498157943,0.00372324484847954,0.00369909585692296,0.9935139931593714,129200,100,1.7820005798934948,9.113145233971254e-7,0.905791484125163
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02159999999999987,1.9507543032968736e-6,8.754455340970358e-7,8.4557118129194e-4,0.00131305607540163,0.00216188740388077,-0.2996322070673173,0.00103558316053065,0.38043007536819495,0.38043007536819495,0.00141232533131281,0.00372563067488185,0.00369930389699653,0.9929336050234892,128500,100,1.7870839954380993,9.673246780075771e-7,0.9050172646274391
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02239999999999986,2.090415831243559e-6,9.342920888677564e-7,8.7635323846959e-4,0.00135287349925712,0.0022258733556055,-0.3053518690528154,0.00107385430689722,0.3811265199703427,0.3811265199703427,0.00141556138959347,0.00372848505223615,0.00369987176354254,0.9923257601163088,127700,100,1.792919515236549,1.0333429261767391e-6,0.9041452408490757
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02309999999999986,2.2166610685419144e-6,9.87315823097226e-7,9.0329166389126e-4,0.00138844310685672,0.00229012345399639,-0.31011674768538977,0.00110738901345059,0.3810310908747116,0.3810310908747116,0.00141681234360363,0.00373299568090704,0.00370378994280746,0.9921763268441596,127000,100,1.7987043485894794,1.0928610185159832e-6,0.9034230394985823
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02389999999999985,2.3656817485762123e-6,1.0497132341766212e-6,9.3369405073024e-4,0.00143786509218865,0.00235715400015793,-0.31534845522537935,0.00114579461519239,0.37804913504815074,0.37804913504815074,0.00140805784020449,0.00373903071726542,0.00371009866889673,0.992262152799363,126200,100,1.8049475073313712,1.1629111948008945e-6,0.9026598409832539
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02469999999999985,2.519843854324231e-6,1.1140915448700882e-6,9.6311219815848e-4,0.00148630287698414,0.00242695348993214,-0.32028160191977917,0.0011842875260405499,0.3774545316010068,0.3774545316010068,0.00140839707932273,0.00374639476193024,0.00371627125813041,0.991959335383997,125400,100,1.81106001264772,1.2351942266932423e-6,0.9019565674725019
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02559999999999984,2.6994516538133943e-6,1.1889276122774922e-6,9.9590297353903e-4,0.0015358473698915,0.00250412297517759,-0.3254570949826121,0.00122768192943083,0.37332741229891825,0.37332741229891825,0.00139537159506764,0.00375425830048899,0.00372113859975,0.991178097486078,124500,100,1.8169796449424909,1.3191949399880237e-6,0.9012524049616851
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02639999999999984,2.864508293469179e-6,1.2575375180424096e-6,0.00102618394510512,0.00158376582386564,0.0025681204836591,-0.32973142190586735,0.00126631482112433,0.3688193725026877,0.3688193725026877,0.00137998627488434,0.00375894142973455,0.00372440178405963,0.9908113370956808,123700,100,1.8218343072198144,1.3961580627124606e-6,0.9007128573961471
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02729999999999983,3.056128693314063e-6,1.3369696166515606e-6,0.00106057136877663,0.00163558715715831,0.0026208538029703,-0.33415243501849645,0.00130982140034381,0.3654194206909817,0.3654194206909817,0.00136816579031326,0.00376589689052605,0.0037224234865373,0.988456029133959,122800,100,1.8257781556756576,1.4851831876846452e-6,0.9002051920179995
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02819999999999983,3.2538746733320943e-6,1.4186963845763651e-6,0.00109442025612718,0.00168440137514557,0.00269190932321776,-0.33815694894364623,0.00135334677433503,0.3659956090772827,0.3659956090772827,0.00137006996836461,0.00376791742402723,0.00371905299515563,0.9870314491076688,121900,100,1.8284324133968235,1.5768372147631858e-6,0.8997101103993346
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.02919999999999982,3.4807313779752667e-6,1.5121700096959429e-6,0.00113100753143515,0.00173689675392924,0.002772659473136,-0.3421193415284689,0.00140171727492643,0.3666264278991037,0.3666264278991037,0.00137313480957071,0.00376935102619775,0.00372145040130767,0.987292076392682,120900,100,1.8299986041785623,1.681790704673347e-6,0.8991428038542112
