time_s,series,passage
0.04844505849263258,CFD-DEM passage,0.3933333333333333
0.04844505849263258,Classical,0.29910524107923875
0.04844505849263258,Time-fractional,0.41683333333333333
0.04875000000000001,CFD-DEM passage,0.4
0.04875000000000001,Classical,0.30142547246937046
0.04875000000000001,Time-fractional,0.4225333333333333
0.05025206009786136,CFD-DEM passage,0.42
0.05025206009786136,Classical,0.312716230361342
0.05025206009786136,Time-fractional,0.4468666666666667
0.05174643634958533,CFD-DEM passage,0.44333333333333336
0.05174643634958533,Classical,0.3237218951352951
0.05174643634958533,Time-fractional,0.47113333333333335
0.05250000000000001,CFD-DEM passage,0.4666666666666667
0.05250000000000001,Classical,0.32918607129294075
0.05250000000000001,Time-fractional,0.48373333333333335
0.0526168485370843,CFD-DEM passage,0.47
0.0526168485370843,Classical,0.33002823431894607
0.0526168485370843,Time-fractional,0.48533333333333334
0.05364436889479059,CFD-DEM passage,0.49333333333333335
0.05364436889479059,Classical,0.33737494209789926
0.05364436889479059,Time-fractional,0.5002333333333333
0.05444346367125443,CFD-DEM passage,0.52
0.05444346367125443,Classical,0.3430155935051357
0.05444346367125443,Time-fractional,0.5112
0.05531446995956703,CFD-DEM passage,0.5433333333333333
0.05531446995956703,Classical,0.3490917995485763
0.05531446995956703,Time-fractional,0.5239
0.05625000000000001,CFD-DEM passage,0.5633333333333334
0.05625000000000001,Classical,0.35553506883379316
0.05625000000000001,Time-fractional,0.5365
0.05664880928827999,CFD-DEM passage,0.57
0.05664880928827999,Classical,0.3582558199908258
0.05664880928827999,Time-fractional,0.5420666666666667
0.05806832548417018,CFD-DEM passage,0.5966666666666667
0.05806832548417018,Classical,0.3678152984059756
0.05806832548417018,Time-fractional,0.5590666666666667
0.05974472388320255,CFD-DEM passage,0.62
0.05974472388320255,Classical,0.3788572348126525
0.05974472388320255,Time-fractional,0.5781
0.06000000000000001,CFD-DEM passage,0.6233333333333333
0.06000000000000001,Classical,0.3805154663842538
0.06000000000000001,Time-fractional,0.5810666666666666
0.06248843813355086,CFD-DEM passage,0.6466666666666666
0.06248843813355086,Classical,0.3963648739945867
0.06248843813355086,Time-fractional,0.6065666666666667
0.06375000000000001,CFD-DEM passage,0.6633333333333333
0.06375000000000001,Classical,0.4041856905059398
0.06375000000000001,Time-fractional,0.6194666666666667
0.06469583686456144,CFD-DEM passage,0.67
0.06469583686456144,Classical,0.40995673429736634
0.06469583686456144,Time-fractional,0.6288
0.06750000000000002,CFD-DEM passage,0.6933333333333334
0.06750000000000002,Classical,0.42661208190825894
0.06750000000000002,Time-fractional,0.6530333333333334
0.06758806263219988,CFD-DEM passage,0.6966666666666667
0.06758806263219988,Classical,0.42712434252992937
0.06758806263219988,Time-fractional,0.6536333333333333
0.06949527488783129,CFD-DEM passage,0.72
0.06949527488783129,Classical,0.438061463607607
0.06949527488783129,Time-fractional,0.6675
0.07125000000000002,CFD-DEM passage,0.74
0.07125000000000002,Classical,0.4478641139634171
0.07125000000000002,Time-fractional,0.6795333333333333
0.0722614179518677,CFD-DEM passage,0.7466666666666667
0.0722614179518677,Classical,0.453403993357212
0.0722614179518677,Time-fractional,0.6857
0.07500000000000001,CFD-DEM passage,0.7633333333333333
0.07500000000000001,Classical,0.4680113875205986
0.07500000000000001,Time-fractional,0.7034
0.07736607032197496,CFD-DEM passage,0.77
0.07736607032197496,Classical,0.4801856634293869
0.07736607032197496,Time-fractional,0.7182666666666667
0.07875000000000001,CFD-DEM passage,0.78
0.07875000000000001,Classical,0.4871217848202384
0.07875000000000001,Time-fractional,0.7258666666666667
0.08250000000000002,CFD-DEM passage,0.7933333333333333
0.08250000000000002,Classical,0.5052603804765521
0.08250000000000002,Time-fractional,0.7435666666666667
0.08625000000000002,CFD-DEM passage,0.7966666666666666
0.08625000000000002,Classical,0.5224888460666026
0.08625000000000002,Time-fractional,0.7603333333333333
0.09000000000000002,CFD-DEM passage,0.8
0.09000000000000002,Classical,0.5388651747469948
0.09000000000000002,Time-fractional,0.7744
0.09375000000000004,CFD-DEM passage,0.8033333333333333
0.09375000000000004,Classical,0.554443611056288
0.09375000000000004,Time-fractional,0.7877666666666666
0.09750000000000002,CFD-DEM passage,0.8066666666666666
