case,cell,step_dp,quantile,time_s,normalized
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716__job_12782,"0.10
0.10",5,P90,0.08415688232161476,6.232455470471611
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716__job_12782,"0.10
0.10",5,P99,0.1541238634675498,2.62526749803328
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",0.5,P50,0.00482976930083503,1
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",0.5,P90,0.01191073960997527,1
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",0.5,P99,0.0471500411697834,1
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",1,P50,0.01081354906220055,2.2389369737248055
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",1,P90,0.02097942698601351,1.7613874262218943
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",1,P99,0.08448069131981936,1.791741623631067
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",2,P50,0.02261286898212234,4.681977041473337
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",2,P90,0.0381226175287342,3.2006927174200355
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",2,P99,0.15707169506619478,3.3313161806284026
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",5,P50,0.05970861937322579,12.362623482430648
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",5,P90,0.08519745364261185,7.152994392662131
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,"0.10
0.10",5,P99,0.11933134341352976,2.5308852432138385
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",0.5,P50,0.00220862047830242,1
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",0.5,P90,0.0055752121373309,1
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",0.5,P99,0.03001233754500589,1
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",1,P50,0.00471652380540579,2.1355066892393317
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",1,P90,0.01021998344993755,1.8331111351810025
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",1,P99,0.03991749822880561,1.3300362948719386
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",2,P50,0.00969641658596487,4.390259295892107
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",2,P90,0.01925772149817397,3.454168383876688
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",2,P99,0.0749127773193894,2.4960660663985843
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",5,P50,0.02506437242608784,11.348428882336863
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",5,P90,0.04412587434534905,7.914653874762522
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,"0.20
0.05",5,P99,0.10999665400463768,3.665047877050194
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",0.5,P50,0.00210804145446111,1
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",0.5,P90,0.00539475262831334,1
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",0.5,P99,0.02576793909224289,1
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",1,P50,0.00462073788425786,2.191957788343913
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",1,P90,0.01005932214250722,1.8646493797904224
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",1,P99,0.04391714417246952,1.7043328151024006
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",2,P50,0.0095219720122198,4.516975694225118
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",2,P90,0.01885286210214852,3.4946666512942293
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",2,P99,0.06830123672791409,2.6506286157931545
