ix,iy,iz,x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
2,0,1,0.00625,0.00125,0.0039,5.886223191510426e-09,0.36222911947756475,0.378904,0.4,0.20162480200072427,0.002777931857188593,-0.0002037508528879781,0.2535457432060775,0.18591213651805905,0.211559,-0.000893255,-0.000197152,0.07303437449356069,0.08016055,65.70575552258435,313.016
2,0,2,0.00625,0.00125,0.0065,6.000000304697344e-09,0.3692307879813751,0.415569,0.415569,0.17852707998570874,0.015386299999920246,0.0418508152211843,0.22355852533549495,0.17821706679671573,0.252434,0.00130347,0.000606698,0.06591769441913722,0.10490374,63.285806712586336,313.338
2,0,3,0.00625,0.00125,0.0091,6.430816212437354e-09,0.39574253614999105,0.390014,0.4,0.1654612991791353,-0.029801362599816705,0.051576409200746375,0.21949472798027767,0.14999442509663893,0.20469,-0.00869925,0.00535256,0.06548007417182343,0.079831965,55.17398320268038,312.916
2,0,4,0.00625,0.00125,0.011699999999999999,7.97807643961972e-09,0.49095855013044437,0.514456,0.514456,0.5052077530105906,-0.07324930955225595,0.038455194607223464,0.5725149303251125,0.6105037273007481,0.569559,-0.0355972,0.00933176,0.24803606593273922,0.293013,43.42502612827832,312.265
2,1,0,0.00625,0.00375,0.0013,6.612445225269216e-09,0.40691970617041334,0.408903,0.408903,0.25654992882592764,0.008533070361351137,-0.009113666587847846,0.3202109464879147,0.24359732499726217,0.241153,0.00854275,-0.00650164,0.10439522165588694,0.09860819,63.938512139385494,312.053
2,1,1,0.00625,0.00375,0.0039,5.98370391734435e-09,0.368227933375037,0.367793,0.4,0.19983996863258588,0.022153105909251996,0.011501167776582938,0.2576515705226785,0.18431345602179072,0.114769,0.00445708,-0.00292964,0.07358665865530932,0.042211235,63.17462374119949,313.194
2,1,2,0.00625,0.00375,0.0065,6.164444179890691e-09,0.37935041107019646,0.408903,0.408903,0.17832362247412128,0.015502632887039068,0.020494285697689026,0.23875621284141418,0.16487476292821465,0.190031,0.00275631,-0.00645978,0.06764713948908443,0.07770425,61.620523852155515,313.133
2,1,3,0.00625,0.00375,0.0091,5.6868157488008486e-09,0.34995789223389845,0.362237,0.4,0.17543117256523016,-0.02042215464902245,0.047251477006668666,0.23622367518708526,0.1765401688341803,0.0728275,-0.00234208,-0.00269306,0.06139352338304926,0.026380816,56.838229665729585,314.599
2,1,4,0.00625,0.00375,0.011699999999999999,7.279705433806689e-09,0.44798187284964247,0.466679,0.466679,0.46184608812099176,-0.10069285025853143,0.016974402031868317,0.5328343014787146,0.47387249236293133,0.339653,-0.0291595,-0.000423948,0.2068986755247229,0.15850891,51.19744086835275,314.649
2,2,0,0.00625,0.00625,0.0013,5.951113306929446e-09,0.36622235734950453,0.400014,0.400014,0.23192991661900472,-0.005309909196580245,-0.008357994585440023,0.305877099254481,0.22058811702638711,0.266014,-0.00492768,0.00268958,0.08493792080408594,0.10640933,63.13109021424383,311.863
2,2,1,0.00625,0.00625,0.0039,5.6829644443285955e-09,0.3497208888817599,0.407792,0.407792,0.1957076134242979,0.015400878885950589,0.0057330254537101485,0.2627500277734209,0.17623807542976336,0.145423,-0.00170812,-0.00319036,0.0684430405276733,0.059302334,63.88914115223589,311.436
2,2,2,0.00625,0.00625,0.0065,5.94014932570999e-09,0.36554765081292256,0.410014,0.410014,0.1941411722463548,0.0095325646287223,0.02693740031326011,0.2528587782050787,0.1796566032755853,0.187549,-0.00297556,-0.0126416,0.07096784944072196,0.07689772,62.028690566071404,312.762
2,2,3,0.00625,0.00625,0.0091,5.723557592703405e-09,0.35221892878174815,0.288906,0.4,0.18321066319058443,-0.001161572782594646,0.027834271442664895,0.23420605802742028,0.1976940477223831,0.0756255,-0.000639249,-0.00511259,0.06453026353038131,0.021848662,56.93868191845067,314.182
2,2,4,0.00625,0.00625,0.011699999999999999,7.096892358833963e-09,0.43673183746670563,0.408903,0.408903,0.3865283644410871,-0.06263666580882996,0.036164756110752046,0.45289316586243217,0.451716520929025,0.245099,-0.0140569,-0.00835618,0.16880924283535642,0.100221716,52.78161553854504,315.648
2,3,0,0.00625,0.00875,0.0013,5.8311104715773966e-09,0.35883756748168594,0.356682,0.4,0.22280044854164988,-0.020835625811455896,-0.00592172883339083,0.27453590423477253,0.22035583074036866,0.240649,-0.00538568,-0.00459759,0.07994917098851419,0.08583517,66.88294870039081,312.804
2,3,1,0.00625,0.00875,0.0039,5.690074077719805e-09,0.3501584047827572,0.317794,0.4,0.21133625510578907,-0.014928786792307842,-0.010289133124478062,0.2691769076565136,0.19974643875633327,0.124055,-0.00465496,-0.00269457,0.07400116596060494,0.039423935,63.42285866460931,313.657
2,3,2,0.00625,0.00875,0.0065,5.691258414534405e-09,0.3502312870482711,0.373348,0.4,0.18534153562486907,0.011336819407287563,0.014410377796156032,0.23989225822090834,0.1797386443011568,0.167082,-0.00234533,-0.0052913,0.06491240456540089,0.06237973,62.105576437825846,313.755
